Candidate_ID,Candidate_Name,Party_Name
375,J SHANTHA,Yuvajana Sramika Rythu Congress Party
376,DASAGANIPALLI KULLAYAPPA,Independent
377,ANJINAPPA GARI SREENIVASULU,Revolutionary Socialist Party
378,S RAGHUNATHA REDDY,Independent
379,ASHOK,Socialist Unity Centre Of India (COMMUNIST)
380,PALLE RAMESH,Jaibhim Rao Bharat Party
381,PANDITI. GURAPPA.,Bahujan Samaj Party
382,KAKARLA SHANMUKHA REDDY,Independent
383,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc
384,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent
385,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam
386,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi
387,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular)
388,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party
389,L. KHAJA HUSSAIN,Independent
390,Y.S. SHARMILA REDDY,Indian National Congress
391,KUNCHAM. VENKATA SUBBA REDDY,Independent
392,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi
393,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party
394,CHAN BASHA. S,Anna YSR Congress Party
395,VIVEKA MANNEPALLI,Revolutionary Socialist Party
396,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party
397,TALARI VENKATAIAH,Jaibhim Rao Bharat Party
398,NAKKA DINESH,Bharatha Chaitanya Yuvajana Party
399,GAJULA SOMA SEKHAR,Jai Bharat National Party
400,PRABHAKAR REDDY VEMIREDDY,Telugu Desam
401,VENUMBAKA SUNANDA REDDY,Independent
402,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist)
403,MALLEPALLY RAGHU,Navarang Congress Party
404,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India
405,BHASKAR NASINA,Bahujan Samaj Party
406,SHAIK SHAFI AHMED,All India Forward Bloc
407,KOPPALA RAGHU,Independent
408,KOPPULA RAJU,Indian National Congress
409,SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A)
410,C. PUNYAMURTHY,Independent
411,K. JEEVARATHNAM,Independent
412,ALLAM.RAJA,Independent
413,PRASAD PATIBANDLA,Independent
414,C. PUNYAMURTHY,United Republican Party of India
415,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party
416,A. VARAPRASAD,Jatiya Jana Sena Party
417,KARRA SIVA,Pyramid Party of India
418,VELURU. THEJOVATHI,Samajwadi Party
419,PENUMURU. GURAPPA,Bahujan Samaj Party
420,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party
421,SYAMDHAN KURAPATI,Aihra National Party
422,Y. MAHESH,Independent
423,VIJAYA KUMAR.G,Independent
424,B. BHARANI BAS,Ambedkar National Congress
425,DASARI. GOWTHAM,Independent
426,ANJAIAH.P,Republican Party of India (A)
427,KATTAMANCHI. PRABHAKAR,Independent
428,A. MADHU,Jai Hindustan Party
429,C. DAVID,Indian Believers Party (IBP)
430,VIJAY KUMAR G.SRKR,Liberation Congress Party
431,M UMADEVI,Janata Congress
432,V.C. NAVEEN GUPTA,Independent
433,CHINTA MOHAN,Indian National Congress
434,CHOUDVARAM SUBBANARASAIAH,Independent
435,PULI SREENIVASULU,Independent
436,POOLA REDDY SEKHAR,Independent
437,SHAIK BASHEED,Indian National Congress
438,SREENIVASULU MARRIPATI,Independent
439,MAYANA MOHAMMED SALMAN KHAN,Liberation Congress Party
440,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party
441,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party
442,PRADEEP PENAMADU,All India Forward Bloc
443,NAGARAJU JETTI,Independent
444,AKBAR M BASHA,Anna YSR Congress Party
445,MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party
446,ABBAVARAM UGENDRA,Bahujan Samaj Party
447,BATTHALA RAMANAIAH,Jai Bharat National Party
448,KASTURI OBAIAH NAIDU,Independent
449,SANGARAJU NAGESWARA RAJU,Independent
450,DODDAPANENI RAJA NAIDU,Independent
451,ASADI VENKATADRI,Independent
452,D.MAHESH,Independent
453,MOTUKUR JAGAPATHI,Indian National Congress
454,DAGGUMALLA PRASADA RAO,Telugu Desam
455,BANDAPALLI RAMESH,Independent
456,YUGANDAR . KONDA,Independent
457,N.CHANDRABABU,Independent
458,PETA.MOHAN .,Independent
459,C.SUDHAKAR,Independent
460,N.BHUPATHI,Independent
461,A. PURNA CHANDRA,Independent
462,PALLIPATTU.ABHINAV VISHNU,Samajwadi Party
463,N.GANGAIAH .,Independent
464,P.MADHU,Independent
465,MADASI SUDHARSHAN,Independent
466,T NARESH,Independent
467,THOGURU VIJAYA KUMAR,Bahujan Samaj Party
468,K.MUNI KRISHNA,Independent
469,P.JANAKI RAMA RAO ( BABU),National Maha Sabha Party
470,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party
471,RUHI TAGUNG,Independent
472,TANIA JUNE,Independent
473,BIMPAK SIGA,Independent
474,TOKO SHEETAL,Gana Suraksha Party
475,NABAM TUKI,Indian National Congress
476,KIREN RIJIJU,Bharatiya Janata Party
477,TECHI RANA,Independent
478,LEKI NORBU,Independent
479,TAMAT GAMOH,Independent
480,BANDEY MILI,Arunachal Democratic Party
481,SOTAI KRI,Independent
482,OMAK NITIK,Independent
483,BOSIRAM SIRAM,Indian National Congress
484,TAPIR GAO,Bharatiya Janata Party
485,PANKAJ ISLARY,Independent
486,BINITA DEKA,Gana Suraksha Party
487,KAMPA BORGOYARI,Bodoland Peoples Front
488,TRIPTINA RABHA,Independent
489,JOYANTA BASUMATARY,"United Peopleâs Party, Liberal"
490,GAURI SANKAR SARANIA,All India Trinamool Congress
491,PRITHVIRAJ NARAYAN DEV MECH,Independent
492,AJOY NARZARY,Independent
493,GARJAN MASHAHARY,Indian National Congress
494,JYOTISH KUMAR DAS,Independent
495,RANJAY KR BRAHMA,Independent
496,LALIT PEGU,Voters Party  International
497,BISWAJIT RAY,Independent
498,RADHARANI BISWAS,Hindu Samaj Party
499,S. M. JIAUL HAQUE,Bharatiya Gana Parishad
500,ALAKESH ROY,Independent
501,RAKIBUL HUSSAIN,Indian National Congress
502,ZABED ISLAM,Asom Gana Parishad
503,REJAUL KARIM,Republican Party of India (Athawale)
504,TAHIDUR RAHMAN,Voters Party  International
505,MOHAMMED BADRUDDIN AJMAL,All India United Democratic Front
506,SHUKUR ALI,Asom Jana Morcha
507,SURAT ZAMAN MONDAL,Socialist Unity Centre Of India (COMMUNIST)
508,FARUK KHAN,Independent
509,HAFIZ BURHANUDDIN,The National Road Map Party of India
510,SAMEJ UDDIN,Bodoland Peoples Front
511,DEWAN MOHIBUL ISLAM,Independent
512,MATIAR RAHMAN,Independent
513,ABUL KALAM AZAD,All India Trinamool Congress
514,JAGANNATH RAY,Independent
515,MANORANJAN TALUKDAR,Communist Party of India  (Marxist)
516,ABUBAKKAR SIDDIQUE,Rashtriya Ulama Council
517,AYNAL HAQUE,Independent
518,AMZAD ALI,Republican Party of India (Athawale)
519,CHITRALEKHA DAS,Socialist Unity Centre Of India (COMMUNIST)
520,SHAJAHAN ALI KHAN,Voters Party  International
521,PHANI BHUSAN CHOUDHURY,Asom Gana Parishad
